acupoint,x,y,meridian
三焦俞穴,331,480,11
三間穴,539,690,7
三陽絡穴,492,600,6
上廉穴,506,531,7
上髎穴,317,573,11
下廉穴,506,545,7
下髎穴,314,612,11
中樞穴,307,433,8
中渚穴,500,690,6
中膂俞穴,329,601,11
中髎穴,314,600,11
二間穴,544,703,7
京門穴,388,490,13
京骨穴,374,1234,11
俠溪穴,378,1221,13
偏歷穴,512,608,7
僕參穴,339,1233,11
前谷穴,491,706,4
厥陰俞穴,333,310,11
合谷穴,535,671,7
合陽穴,345,966,11
命門穴,305,498,8
商陽穴,554,743,7
啞門穴,314,161,8
四瀆穴,485,564,6
地五會穴,368,1219,13
外關穴,498,623,6
大杼穴,334,249,11
大椎穴,312,235,8
大腸俞穴,331,537,11
天井穴,473,488,6
天宗穴,397,307,4
天柱穴,325,174,11
天牖穴,345,177,6
天衝穴,373,83,13
天髎穴,390,245,6
委中穴,348,932,11
委陽穴,367,933,11
完骨穴,346,107,13
小海穴,457,510,4
小腸俞穴,328,573,11
少澤穴,497,735,4
崑崙穴,340,1203,11
巨骨穴,430,240,7
強間穴,313,92,8
後溪穴,488,693,4
後頂穴,315,61,8
心俞穴,335,334,11
志室穴,354,502,11
意舍穴,355,452,11
懸樞穴,304,481,8
手三里穴,506,518,7
手五里穴,492,444,7
承山穴,340,1067,11
承扶穴,351,701,11
承筋穴,347,1010,11
承靈穴,353,50,13
支正穴,471,588,4
支溝穴,495,612,6
曲垣穴,377,271,4
曲池穴,502,495,7
會宗穴,486,614,6
會陽穴,315,634,11
束骨穴,385,1235,11
次髎穴,317,585,11
殷門穴,350,801,11
氣海俞穴,330,521,11
浮白穴,365,102,13
浮郄穴,365,920,11
消濼穴,463,409,6
液門穴,502,704,6
清冷淵穴,460,464,6
溫溜穴,509,581,7
玉枕穴,329,118,11
環跳穴,395,632,13
申脈穴,351,1210,11
瘛脈穴,364,139,6
白環俞穴,327,612,11
百會穴,317,39,8
督俞穴,333,352,11
神堂穴,358,331,11
神道穴,308,330,8
秉風穴,397,264,4
秩邊穴,351,616,11
筋縮穴,306,418,8
絡卻穴,335,49,11
絲竹空穴,363,84,6
翳風穴,356,151,6
肓門穴,357,484,11
肘髎穴,487,473,7
肝俞穴,333,415,11
肩中俞穴,347,234,4
肩井穴,383,230,13
肩外俞穴,363,251,4
肩貞穴,431,335,4
肩髎穴,459,267,6
肺俞穴,335,288,11
胃俞穴,331,467,11
胃倉穴,354,469,11
胞肓穴,352,584,11
脊中穴,306,451,8
脾俞穴,333,452,11
腎俞穴,332,500,11
腕骨穴,486,670,4
腦戶穴,314,120,8
腦空穴,338,121,13
腰俞穴,302,644,8
腰陽關穴,304,537,8
膀胱俞穴,327,585,11
膈俞穴,333,372,11
膈關穴,356,373,11
膏肓俞穴,360,311,11
膽俞穴,332,435,11
臂臑穴,483,372,7
臑俞穴,432,270,4
臑會穴,436,349,6
至陰穴,399,1232,11
至陽穴,309,373,8
角孫穴,373,106,6
譩譆穴,357,353,11
足竅陰穴,386,1225,13
足通谷穴,392,1233,11
跗陽穴,350,1055,11
身柱穴,310,287,8
金門穴,366,1232,11
長強穴,302,621,8
關元俞穴,329,561,11
關衝穴,513,749,6
附分穴,361,271,11
陶道穴,312,251,8
陽交穴,378,1086,13
陽池穴,502,650,6
陽溪穴,523,644,7
陽綱穴,354,436,11
陽谷穴,490,655,4
靈台穴,309,351,8
頭竅陰穴,357,121,13
顱息穴,371,121,6
風府穴,313,147,8
風池穴,334,151,13
風門穴,335,268,11
飛揚穴,363,1081,11
養老穴,492,644,4
魂門穴,356,416,11
魄戶穴,360,288,11
