acupoint,x,y,meridian
三陰交穴,333,1101,10
上巨虛穴,374,996,14
上星穴,318,26,8
上脘穴,314,409,1
上關穴,374,112,13
下巨虛穴,371,1043,14
下脘穴,312,463,1
下關穴,368,125,14
不容穴,348,389,14
中封穴,340,1160,9
中府穴,412,259,3
中庭穴,316,353,1
中極穴,309,583,1
中注穴,319,523,12
中脘穴,313,327,1
中衝穴,539,733,2
中都穴,345,1034,9
乳中穴,385,335,14
乳根穴,384,353,14
五處穴,339,27,11
人迎穴,339,197,14
伏兔穴,387,781,14
俞府穴,349,246,12
俠白穴,483,382,3
兌端穴,318,143,8
內庭穴,397,1222,14
內關穴,500,592,2
公孫穴,344,1214,10
列缺穴,524,596,3
勞宮穴,524,657,2
厲兌穴,412,1236,14
周榮穴,412,279,10
商丘穴,326,1161,10
商曲穴,320,463,12
四滿穴,318,543,12
四白穴,346,116,14
地倉穴,315,151,14
地機穴,335,985,10
外陵穴,342,523,14
大巨穴,343,543,14
大敦穴,390,1236,9
大橫穴,375,505,10
大赫穴,317,583,12
大迎穴,352,167,14
大都穴,369,1235,10
大陵穴,508,619,2
天府穴,483,368,3
天樞穴,344,502,14
天池穴,401,326,2
天泉穴,468,357,2
天溪穴,413,323,10
天突穴,316,231,1
天鼎穴,366,211,7
太乙穴,346,364,14
太淵穴,525,616,3
太白穴,352,1221,10
太衝穴,362,1204,9
孔最穴,501,525,3
少商穴,572,664,3
少府穴,497,658,5
少海穴,450,461,5
尺澤穴,488,456,3
屋翳穴,386,287,14
巨闕穴,315,388,1
巨髎穴,345,132,14
幽門穴,322,391,12
府舍穴,374,586,10
庫房穴,382,265,14
廉泉穴,318,189,1
建里穴,313,444,1
彧中穴,349,268,12
急脈穴,349,622,9
扶突穴,353,199,7
承泣穴,346,110,14
承滿穴,346,408,14
承漿穴,320,164,1
攢竹穴,331,86,11
曲差穴,340,36,11
曲澤穴,472,461,2
曲骨穴,308,605,1
期門穴,385,376,9
本神穴,358,38,13
梁丘穴,375,844,14
梁門穴,344,427,14
條口穴,372,1026,14
橫骨穴,317,605,12
步廊穴,350,352,12
歸來穴,342,585,14
氣戶穴,379,242,14
氣海穴,311,534,1
氣穴,318,564,12
氣舍穴,338,228,14
氣衝穴,341,600,14
水分穴,312,482,1
水溝穴,318,137,8
水突穴,339,215,14
水道穴,341,563,14
滑肉門穴,344,483,14
漏谷穴,326,1052,10
然谷穴,334,1198,12
犢鼻穴,371,903,14
玉堂穴,316,311,1
璇璣穴,316,245,1
眉衝穴,331,35,11
睛明穴,331,99,11
瞳子髎穴,363,100,13
石門穴,310,543,1
石關穴,321,446,12
神封穴,349,334,12
神庭穴,321,35,8
神藏穴,352,288,12
神門穴,491,624,5
神闕穴,311,503,1
禾髎穴,326,137,7
章門穴,391,465,9
箕門穴,340,751,10
素髎穴,318,124,8
紫宮穴,317,289,1
經渠穴,524,605,3
缺盆穴,379,228,14
肓俞穴,319,501,12
肩髃穴,472,246,7
胸鄉穴,413,300,10
腹哀穴,378,445,10
腹結穴,375,528,10
腹通谷穴,322,409,12
膺窗穴,386,309,14
膻中穴,314,330,1
華蓋穴,317,266,1
蠡溝穴,340,1069,9
血海穴,323,838,10
行間穴,382,1228,9
衝門穴,366,597,10
衝陽穴,368,1195,14
解溪穴,354,1158,14
豐隆穴,384,1028,14
足三里穴,370,952,14
足五里穴,340,653,9
迎香穴,336,129,7
通里穴,483,610,5
郄門穴,492,551,2
間使穴,498,579,2
關元穴,308,562,1
關門穴,346,446,14
陰交穴,311,522,1
陰包穴,322,810,9
陰市穴,378,827,14
陰廉穴,338,638,9
陰郄穴,487,617,5
陰都穴,322,428,12
陰陵泉穴,336,937,10
陷谷穴,385,1210,14
陽白穴,346,69,13
隱白穴,385,1237,10
雲門穴,409,236,3
靈墟穴,352,309,12
靈道穴,482,603,5
青靈穴,453,418,5
頭維穴,366,43,14
頭臨泣穴,345,37,13
頰車穴,360,153,14
顴髎穴,357,129,4
食竇穴,414,346,10
髀關穴,405,667,14
魚際穴,546,633,3
鳩尾穴,314,371,1
