acupoint,internationalnumber,nickname,meridian,place,symptom,matchpoint,picture,massage,massage_no,moxibustion,moxibustion_no,cupping,cupping_no,puncture,puncture_no,scratch,scratch_no,five_element_point,yuan_primary_point,meridian_name,luo_connecting_point,intersection_point,fiveshu_point
三焦俞穴," BL22"," ",11,腰部第一腰椎棘突下（懸樞）旁開1.5寸處。《針灸甲乙經》：「在第十三椎下兩傍各一寸五分」。,疏調三焦、通利水道。古典：頭痛、食不消、腹脹、腸鳴、欲嘔、泄瀉、腰背痛、寒熱往來、小便不利、肩背拘急、尿血、症瘕、口苦唇裂、消渴、口吐清涎、目眩、赤白痢疾不止、水腫。現代：胃炎、腸炎、腎絞痛、腎炎、腹水、尿瀦留、遺尿、神經衰弱。,腸鳴臚脹欲泄註：三焦俞、小腸俞、下髎、意舍、章門。腎炎：三焦俞、氣海俞、大腸俞、足三里。尿崩：關元、三焦俞、腎俞、氣海俞。  ,https://4.bp.blogspot.com/-JNtYqXa-5Xc/WPdpacE5kcI/AAAAAAAARg8/9UiXGi1F2bE6O_RBTFKaRNZi6xXgSC0RQCK4B/s400/sanjiaoshu.jpg,"按摩:用拇指按揉200次,能治療腹脹、腹痛。"," ","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療小便不利、水腫等疾病。"," "," "," "," "," "," "," ",NULL,NULL,足太陽膀胱經,NULL,NULL,NULL
三間穴," LI3","少谷 ",7,微握拳，食指本節（第2掌指關節）後方橈側凹陷處。《靈樞•本輸》：「注入本節之後三間」；《針灸甲乙經》：「在手大指次指本節後內側陷者中」；《循經考穴編》：「約去二分許陷中」。,泄熱利咽，調腑通便。古典：目急痛、下齒痛、咽喉腫痛、喉痹、咽塞、手指手背紅腫、寒熱、胸滿腸鳴、肩痛、唇口乾、身熱、喘息、大便不通、多臥善唾、瘧疾、手指麻木、發熱無汗。現代：口腔頜面病症、三叉神經痛、失眠。,目中漠漠：攢竹、三間。喉痹：間使、三間。肩背浮風勞：三間、腎俞。手背腫痛：三間、後溪。  ,https://3.bp.blogspot.com/-PtwpHLN0RyA/WPMisgLrWYI/AAAAAAAAQxw/dPEYzDBgDlIndiB7J0XIw1Auc7l6QeBvgCK4B/s400/sanjian.jpg,"按摩:用大拇指按揉200次,每天持續,可以防治咽喉及眼部疾病。"," ","艾灸:用艾條温和灸5〜20分鐘,可用於治療腹痛腹瀉"," "," "," "," "," "," "," ",木穴,NULL,手陽明大腸經,NULL,NULL,俞穴
三陰交穴," SP6","承命 ",10,"三陰交穴位橫斷面 (引自《嚴振國穴位解剖》)三陰交穴位 (引自《經絡與穴道》)小腿內側，足內踝尖上3寸，脛骨內側緣後方凹陷處。《針灸甲乙經》：「在內踝上三寸，骨下陷者中」；《醫學入門》：「骨後筋前」。",補脾土，助運化，通氣滯，疏下焦，調血室精宮，祛經絡風濕。古典：月經不調，不思飲食，腹脹腸鳴，能近怯遠，上瞼下垂，瞼緣炎，脾胃虛弱，心腹脹滿，腸鳴溏泄，痔疾，食不消化，食後吐水，脾病身重，四肢不舉，婦人症瘕，崩漏，帶下，經閉，不孕，妊娠胎動，難產，死胎，胎衣不下，產後惡露不行，血暈，夢遺失精，陰莖痛，小便不利，遺尿，白濁，疝痛，足痿，足下熱，痹痛，臁瘡腳氣，小兒客忤，手足逆冷，濕痹不能行，膝內痛，脛痛不能久立，心悲，癲疾，喉痹，項頸滿，肺脹痰嗽不得臥。現代：泌尿生殖系疾患，子宮出血，帶下，睪丸炎，急慢性腎炎，癃閉，淋病，腸疝痛，陽萎，遺精，遺尿，急慢性腸炎，血栓閉塞性脈管炎，高血壓，失眠，濕疹，蕁麻疹，皮膚騷痒，糖尿病、神經官能症，中毒性消化不良，滯產。,飧泄：三陰交、陰陵泉。白濁遺精：三陰交、氣海。小兒急性腸炎：三陰交、天樞、合谷。血栓閉塞性脈管炎：三陰交、中脘、內關、足三里。癃閉（濕熱下注）：三陰交、陰陵泉、膀胱俞、中極。  ,https://2.bp.blogspot.com/-cXpJrvtJyGc/WPXxV073Y7I/AAAAAAAARMM/5ZEp6Qz1N4YG3X9m63PWZBZtUmV8wgyjQCK4B/s400/sanyinjiao.jpg,"按摩:用大拇指按揉200次,用於治療腹痛、腹瀉、月經不調。",注意事項：力道可以稍重。,"艾灸:用艾條溫和灸5〜20分鐘,可用於治療痛經、疝氣、水腫等。",注意事項：距皮膚2〜3公分熏灸。,"拔罐:用火罐留罐5〜10分鐘,隔天1次,用於治療下肢疼痛。",注意事項：留罐時間不宜超過20分鐘。," "," ","刮痧:從上向下刮拭3~5分鐘,隔天1次,可用於治療水腫、濕疹。",注意事項：宜單向、循經絡刮拭。,NULL,NULL,足太陰脾經,NULL,3,NULL
三陽絡穴," SJ8","通間 ",6,"三陽絡穴位橫斷面 (引自《嚴振國穴位解剖》)三陽絡穴位 (引自《經絡與穴道》)前臂伸側面，腕背橫紋後四寸，尺骨與橈骨之間，當陽池與肘尖的連線上。《素問•骨空論》：「在臂陽，去踝四寸，兩骨空之間。」《針灸甲乙經》：「在臂上大交脈，支溝上一寸」。",聰耳。古典：頭痛，嗜臥，耳聾，暴啞，牙痛，臂痹不舉，閃挫腰痛，內傷不足。現代：肺切除術針麻用穴。,暴喑：三陽絡、支溝、通谷。頭痛：風池、三陽絡。肺切除手術針麻方：三陽絡、郄門。,https://4.bp.blogspot.com/-RQtbTvLhq5Q/WPmnKwe9XkI/AAAAAAAAR14/3OViMUOYBV4dzcUh0geWdqtC-kyACRIZQCK4B/s400/sanyangluo.jpg,"按摩:用大拇指按揉200次,每天持續,能治療上肢偏癱。"," "," "," "," "," "," "," "," "," ",NULL,NULL,手少陽三焦經,NULL,NULL,NULL
上巨虛穴," ST37","巨虛上廉, 足之上廉 ",14,小腿前外側，外膝眼（犢鼻）下6寸。脛骨前緣外一橫指（中指）處。當足三里直下3寸，脛骨前肌中。《靈樞•本輸》：「復下三里三寸。」,理脾和胃，通腸化滯，疏經調氣。古典：脾胃虛弱，飧泄，大腸癰，胸脅滿，膝腫，腳氣，腸中切痛而鳴濯濯，當臍而痛，食不化，喘不能久立，虛勞，偏風猥腿，手足不仁。現代：闌尾炎，急慢性胃炎，急慢性腸炎，菌痢，下肢癱瘓。,腸炎、菌痢：上巨虛、天樞。,https://2.bp.blogspot.com/-d57KFguWjIA/WPSnlmqNT4I/AAAAAAAAQ_U/Gi5cAZCp_NA2N0Ksb5hV8ia5k3MPO0T0QCK4B/s400/shangjuxu.jpg,"按摩:用大拇指按揉200次,治療腹痛、腹瀉。"," ","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療寒濕腹瀉 。"," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
上廉穴," LI9","手上廉, 手之上廉 ",7,前臂背面橈側，肘橫紋下3寸處。當陽溪與曲池連線的後1/4折點處。《針灸甲乙經》：「在﹝手﹞三里下一寸…」；《循經考穴編》：「曲池下三寸，屈肘取之；若直取，合四寸。」,疏泄陽明經熱。古典：腦風頭痛，肩膊酸痛，手足麻木，風水膝腫，腸鳴腹痛，小便難、黃赤，半身不遂，骨髓冷。現代：肩關節周圍炎，偏癱、肘勞。,上肢酸痛麻木：肩髃、上廉、合谷。  ,https://2.bp.blogspot.com/-M9VCkgKBLcI/WPOpMgvmDOI/AAAAAAAAQ0U/tnpCyYgEwjAPAfD_eEBCVS_OXpMbkNjUQCK4B/s400/shanglian.jpg,"按摩:用大拇指按揉或彈撥,可治療上肢痹痛、腹痛。"," "," "," "," "," "," "," "," "," ",NULL,NULL,手陽明大腸經,NULL,2,NULL
上明穴," EX-HN19","提瞼, 眶內穴, 上清明, 東明三 ",,位於眶上緣下方，從眉弓中點划一垂直線與上緣之交點的下方。左右計二穴。,屈光不正，白內障，青光眼，色盲，視神經萎縮，,玻璃體混濁：四白、睛明、上明。外展神經麻痹：上明、合谷、曲池、內關、外關。  ,https://3.bp.blogspot.com/-RzzCAYBcxck/WQAtj9DtgoI/AAAAAAAAS0c/vCSEGZcfrboQzmfbl1hJqISqvwrWZ20ewCK4B/s320/shangming.png," "," "," "," "," "," "," "," "," "," ",NULL,NULL,NULL,NULL,NULL,NULL
上星穴," DU23","明堂, 神堂, 鬼堂 ",8,頭頂正中線前髮際後一寸處。《針灸甲乙經》：「在顱上，直鼻中央，入髮際一寸陷者中。」《針灸玉龍經》：「在髮際一寸半，以手掌手橫紋按鼻尖，中指頭盡處是穴。」,泄熱，利竅，清頭目。古典：熱病汗不出，風眩，善嘔煩滿，目中痛不能視，頭痛引頷痛，面澼腫，鼻塞，鼻流清涕，鼻鼽衄，痎瘧，顏青，癲疾。現代：鼻炎，角膜炎。,頭眩：上星、風池、天柱。鼻塞不聞香臭：上星、百會、囟會、承光。面赤腫：上星、囟會、前頂、腦戶、風池。頭風：上星、百會、合谷。鼻出血：上星、迎香、合谷。  ,https://4.bp.blogspot.com/-eZa8b5xnPfE/WPzEorN_-HI/AAAAAAAAST4/k711KatrdlUD1oxG6kaa7ZFRQFsVHD_VgCK4B/s320/shangxing.jpg,"按摩:用大拇指按揉200次,每天持續,能治療頭痛、鼻淵、眼疾。",注意事項：順時針方向按揉。," "," "," "," "," "," ","刮痧:從前向後刮拭3~5分鐘,隔天1次,可用於治療頭痛、癲狂、瘧疾等。",注意事項：宜單向、循經絡刮拭。,NULL,NULL,督脈,NULL,4,NULL
上脘穴," RN13","上管 ",1,上腹正中線臍中上5寸處。當中脘上1脘，歧骨（胸劍結合部）下3寸。《針灸甲乙經》：「在巨闕下一寸五分，去蔽骨下三寸」；《針灸聚英》：「臍上五寸」《備急千金要方》作「巨闕下一寸」，誤。,古典：胃痛，飲食不下，食飲不化，膈塞不通，呃逆，腹脹，疳積，驚悸，目眩，翻胃，嘔吐，嘔血，虛勞。現代：胃炎，消化性潰瘍，胃擴張，冒痙攣，胃下垂，胃扭轉，賁門痙攣，食管癌，急性胰腺炎。,嘔血：上脘、不容、大陵。發狂奔走：上脘、神門。蓄熱吐血：上脘、尺澤、魚際、曲泉、行間。賁門痙攣：上脘、內關、公孫。胃脘痛：上脘、合谷、足三里。  ,https://3.bp.blogspot.com/-hYNjHGYS_Po/WP4y0NPGvHI/AAAAAAAASm4/vG1dvtzbZ8kkGQ7IbUMGHm41yLzTx23QgCK4B/s320/shangwan.jpg," "," ","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療腹脹、食欲不振、腹瀉等疾病。"," "," "," "," "," "," "," ",NULL,NULL,任脈,NULL,NULL,NULL
上迎香穴," EX-HN8","鼻通, 穿鼻 ",,在面部，當鼻翼軟骨與鼻甲的交界處，近鼻唇溝上端處。,鼻炎鼻塞，鼻部癤瘡，過敏性鼻炎，肥大性鼻炎，萎縮性鼻炎，鼻旁竇炎。,慢性鼻炎：上迎香、迎香、印堂。前額及眉稜骨痛：陽白、攢竹。過敏性鼻炎：上迎香、合谷、迎香、少商。  ,https://1.bp.blogspot.com/-5BCsUDdNtn8/WP9LQdQejrI/AAAAAAAASug/BpgGtvpcRF42Qbsc12n0vAjuTdp4_XBEACK4B/s400/shangyingxiang.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,NULL,NULL,NULL,NULL
