acupoint,symptom,meridian
一重穴,脾腫大,NULL
七快穴,三叉神經痛,NULL
七快穴,尿道結石,NULL
七快穴,肺虛弱,NULL
七快穴,顏面神經麻痺,NULL
七華一穴,腦瘤,NULL
七華七穴,腦瘤,NULL
七華三穴,腦瘤,NULL
七華二穴,腦瘤,NULL
七華五穴,腦瘤,NULL
七華六穴,腦瘤,NULL
七華四穴,腦瘤,NULL
七虎一穴,肋膜炎,NULL
七虎一穴,肩骨痛,NULL
七虎一穴,胸骨痛及腫脹,NULL
七虎一穴,鎖骨炎,NULL
七虎三穴,肋膜炎,NULL
七虎三穴,肩骨痛,NULL
七虎三穴,胸骨痛及腫脹,NULL
七虎三穴,鎖骨炎,NULL
七虎二穴,肋膜炎,NULL
七虎二穴,肩骨痛,NULL
七虎二穴,胸骨痛及腫脹,NULL
七虎二穴,鎖骨炎,NULL
七里穴,半身麻痺,NULL
七里穴,皮膚病,NULL
七里穴,神經痛,NULL
七里穴,肺病,NULL
七里穴,背痛,NULL
七里穴,胸痛,NULL
七里穴,腹脹痛,NULL
七里穴,腿痛,NULL
三仙一穴,濕疹,NULL
三仙一穴,疥瘡,NULL
三仙一穴,皮膚因挫傷而腫痛,NULL
三仙一穴,過敏性皮膚炎,NULL
三仙三穴,濕疹,NULL
三仙三穴,疥瘡,NULL
三仙三穴,皮膚因挫傷而腫痛,NULL
三仙三穴,過敏性皮膚炎,NULL
三仙二穴,濕疹,NULL
三仙二穴,疥瘡,NULL
三仙二穴,皮膚因挫傷而腫痛,NULL
三仙二穴,過敏性皮膚炎,NULL
三元穴之上元穴,僵直性脊椎退化症,NULL
三元穴之上元穴,坐骨神經痛,NULL
三元穴之上元穴,背痛,NULL
三元穴之上元穴,腰痛,NULL
三元穴之上元穴,頭昏,NULL
三元穴之上元穴,頭暈,NULL
三元穴之下元穴,僵直性脊椎退化症,NULL
三元穴之下元穴,坐骨神經痛,NULL
三元穴之下元穴,背痛,NULL
三元穴之下元穴,腰痛,NULL
三元穴之下元穴,頭昏,NULL
三元穴之下元穴,頭暈,NULL
三元穴之中元穴,僵直性脊椎退化症,NULL
三元穴之中元穴,坐骨神經痛,NULL
三元穴之中元穴,背痛,NULL
三元穴之中元穴,腰痛,NULL
三元穴之中元穴,頭昏,NULL
三元穴之中元穴,頭暈,NULL
三叉一穴,半身不遂,NULL
三叉一穴,痿症,NULL
三叉一穴,眉稜骨酸,NULL
三叉一穴,腰痛,NULL
三叉一穴,視神經萎縮,NULL
三叉一穴,角膜炎,NULL
三叉三穴,頭暈頭昏,NULL
三叉二穴,半身不遂,NULL
三叉神經點一穴,三叉神經痛,NULL
三叉神經點三穴,三叉神經痛,NULL
三叉神經點二穴,三叉神經痛,NULL
三弼一穴,痔瘡,NULL
三弼三穴,痔瘡,NULL
三弼二穴,痔瘡,NULL
三星一穴,兩脇痛,NULL
三星一穴,兩腿內側筋痛,NULL
三星一穴,口苦,NULL
三星一穴,耳聾,NULL
三星一穴,肋膜炎,NULL
三星一穴,肝炎,NULL
三星一穴,胃脹,NULL
三星一穴,脾臟腫大,NULL
三星一穴,黃疸病,NULL
三星三穴,兩脇痛,NULL
三星三穴,兩腿內側筋痛,NULL
三星三穴,口苦,NULL
三星三穴,耳聾,NULL
三星三穴,肋膜炎,NULL
三星三穴,肝炎,NULL
三星三穴,胃脹,NULL
三星三穴,脾臟腫大,NULL
三星三穴,黃疸病,NULL
三星二穴,兩脇痛,NULL
三星二穴,兩腿內側筋痛,NULL
三星二穴,口苦,NULL
三星二穴,耳聾,NULL
三星二穴,肋膜炎,NULL
三星二穴,肝炎,NULL
三星二穴,胃脹,NULL
三星二穴,脾臟腫大,NULL
三星二穴,黃疸病,NULL
三權一穴,冠心症,NULL
三權一穴,抽筋,NULL
三權一穴,胸痛胸悶,NULL
