name,path,symptom,nickname,picture,id
任脈,從會陰穴為起點，通過身體正面中央，腹部->胸部->下唇下的承漿穴為終點。,調整身體正面的經脈，生殖器、泌尿器、呼吸器、消化器等的機能障礙,任,http://120.126.151.210/acupoint-1.1/images/%E4%BB%BB%E8%84%88.jpg,1
手厥陰心包經,從胸部的天池穴為起點，通過手臂->手掌->中指的中衝穴為終點。,調整自律神經和心臟機能，對心悸、呼吸急促、胸痛、心臟機能障礙等有效,手厥陰,http://120.126.151.210/acupoint-1.1/images/%E6%89%8B%E5%8E%A5%E9%99%B0.jpg,2
手太陰肺經,從胸部上方外側的中府穴為起點，通過手臂前外側->手掌外側->拇指外側角的少商穴為終點。,可調整呼吸器、心臟、皮膚和手臂等的機能。對頭部充血、心悸、呼吸急促等症狀有效,手太陰,http://120.126.151.210/acupoint-1.1/images/%E6%89%8B%E5%A4%AA%E9%99%B0.jpg,3
手太陽小腸經,從小指的少衝穴為起點，通過手腕->手臂->肩->頸->下顎->耳朵前的聽空穴為終點。,改善手腕、頸部、耳朵、眼睛的異常症狀，對重聽、喉嚨腫大、手臂麻痺和疼痛等有效,手太陽,http://120.126.151.210/acupoint-1.1/images/%E6%89%8B%E5%A4%AA%E9%99%BD.jpg,4
手少陰心經,從腋下的極泉穴為起點，通過手臂->手腕->小指的少衝穴為終點。,調整循環器、呼吸器等機能。對臉部灼熱、充血、手臂麻痺、疼痛等有效,手少陰,http://120.126.151.210/acupoint-1.1/images/%E6%89%8B%E5%B0%91%E9%99%B0.jpg,5
手少陽三焦經,從無名指的關衝穴為起點，通過手臂->肩->頸部->耳後->耳前->眉外側的絲竹空穴為終點。,改善眼、耳、喉嚨、臉部等異常，像是頭痛、胸悶、呼吸機能的障礙等,手少陽,http://120.126.151.210/acupoint-1.1/images/%E6%89%8B%E5%B0%91%E9%99%BD.jpg,6
手陽明大腸經,從手掌食指的商陽穴為起點，通過手掌->臂部->鎖骨凹陷->頸部側邊->鼻翼的迎香穴為終點。,可調整鼻、喉嚨、牙齒、胃和手指等的功能。對鼻塞、喉嚨痛、頸酸和肩酸等症狀有效,手陽明,http://120.126.151.210/acupoint-1.1/images/%E6%89%8B%E9%99%BD%E6%98%8E.jpg,7
督脈,從尾骨的長強穴為起點，通過身體背面的中央，腰部->背部->後頭部->前面鼻樑->牙齦部的齦交穴為終點。,調整身體背面的經脈，改善因為內臟的不適所產生的全身性症狀,督,http://120.126.151.210/acupoint-1.1/images/%E7%9D%A3%E8%84%88.jpg,8
足厥陰肝經,從腳的第1趾的大墩穴為起點，通過腳->腹部->肋骨下部的期門穴為終點。,調整肝臟、肌肉的機能以及生命能量的平衡。下腹部疼痛，腰痛，腳的浮腫、疼痛等症狀有效,足厥陰,http://120.126.151.210/acupoint-1.1/images/%E8%B6%B3%E5%8E%A5%E9%99%B0.jpg,9
足太陰脾經,從腳的第1趾內側的隱白穴為起點，通過腳背側面->鼠蹊部->肚臍旁邊->胸->腋下->第七肋骨間的大包穴為終點。,調整消化器、生殖器、呼吸器、精神機能等。對於噁心、下痢、腳部浮腫、腳腰的虛寒等症狀有效,足太陰,http://120.126.151.210/acupoint-1.1/images/%E8%B6%B3%E5%A4%AA%E9%99%B0.jpg,10
足太陽膀胱經,從眼角的晴明穴為起點，通過後頭部->頸部->背部->腰->腳->腳的第五趾外側的至陰穴為終點。,改善頭部和背部的異常症狀。從臉到後頭部疼痛、後頸部、背部、腰、大腿、小腿的虛寒和疼痛，鼻塞等,足太陽,http://120.126.151.210/acupoint-1.1/images/%E8%B6%B3%E5%A4%AA%E9%99%BD.jpg,11
足少陰腎經,從腳底的湧泉穴為起點，通過腳內側肚臍旁->第二胸肋骨間的兪府穴為終點。,調整泌尿、生殖器、腎機能，強化生命力。對全身怠惰、精力減退等有效,足少陰,http://120.126.151.210/acupoint-1.1/images/%E8%B6%B3%E5%B0%91%E9%99%B0.jpg,12
足少陽膽經,從眼尾的瞳子骨廖穴為起點，通過耳的周圍->頸部->肩->上身側面->腳->腳的第四趾的竅陰穴為終點。,協助肝功能，並調整泌尿、生殖的機能。改善肩酸、腳麻痺、疼痛，臉色不良，皮膚喪失光澤等,足少陽,http://120.126.151.210/acupoint-1.1/images/%E8%B6%B3%E5%B0%91%E9%99%BD.jpg,13
足陽明胃經,從眼睛下方的承泣穴為起點，通過口角->耳前->額的頭維穴為終點。及從喉嚨的人迎穴為起點，通過鎖骨凹陷->胸->肚臍->鼠蹊部->腳->腳的第2趾的厲兌穴為終點。,可調整消化器的機能和全身的不適。對便祕、下痢、頭痛、鼻塞、腳麻痹等症狀有效,足陽明,http://120.126.151.210/acupoint-1.1/images/%E8%B6%B3%E9%99%BD%E6%98%8E.jpg,14
