acupoint,x,y,meridian
上巨虛穴,319,1024,14
上星穴,304,26,8
上脘穴,262,396,1
上關穴,332,96,13
下巨虛穴,321,1072,14
下脘穴,261,452,1
下關穴,331,113,14
不容穴,279,378,14
丘墟穴,333,1200,13
中庭穴,267,344,1
中極穴,267,580,1
中注穴,267,511,12
中瀆穴,336,820,13
中脘穴,261,414,1
乳中穴,298,320,14
乳根穴,295,349,14
五樞穴,300,553,13
五處穴,312,32,11
京門穴,355,453,13
京骨穴,317,1244,11
人迎穴,327,189,14
伏兔穴,278,785,14
俞府穴,323,240,12
俠溪穴,262,1237,13
僕參穴,366,1229,11
光明穴,346,1107,13
兌端穴,278,139,8
內庭穴,250,1231,14
前頂穴,352,9,8
厲兌穴,228,1240,14
周榮穴,342,284,10
商曲穴,265,452,12
啞門穴,393,137,8
四滿穴,269,532,12
四白穴,296,110,14
囟會穴,324,16,8
地五會穴,287,1235,13
地倉穴,295,142,14
外丘穴,347,1071,13
外陵穴,277,509,14
大包穴,380,354,10
大巨穴,277,533,14
大橫穴,298,486,10
大赫穴,273,579,12
大迎穴,322,159,14
天容穴,352,149,4
天柱穴,385,145,11
天樞穴,277,486,14
天溪穴,323,320,10
天牖穴,371,146,6
天突穴,313,229,1
天窗穴,365,180,4
天衝穴,374,60,13
天鼎穴,351,208,7
太乙穴,278,451,14
完骨穴,382,127,13
居髎穴,331,588,13
屋翳穴,315,281,14
崑崙穴,363,1195,11
巨闕穴,266,380,1
巨髎穴,296,129,14
帶脈穴,335,483,13
幽門穴,270,379,12
府舍穴,290,579,10
庫房穴,329,261,14
廉泉穴,311,187,1
建里穴,260,432,1
強間穴,413,66,8
彧中穴,310,261,12
後頂穴,401,38,8
懸釐穴,347,72,13
懸鐘穴,346,1140,13
懸顱穴,340,62,13
扶突穴,345,187,7
承光穴,337,20,11
承泣穴,296,101,14
承滿穴,279,397,14
承漿穴,285,155,1
承靈穴,359,27,13
攢竹穴,288,60,11
日月穴,297,395,13
曲差穴,309,37,11
曲骨穴,277,603,1
曲鬢穴,352,80,13
期門穴,297,377,9
本神穴,323,40,13
束骨穴,300,1247,11
梁丘穴,292,846,14
梁門穴,279,413,14
條口穴,322,1057,14
橫骨穴,281,601,12
正營穴,340,27,13
步廊穴,277,345,12
歸來穴,280,577,14
氣戶穴,341,242,14
氣海穴,263,522,1
氣穴,270,556,12
氣舍穴,326,226,14
氣衝穴,287,596,14
水分穴,261,469,1
水溝穴,280,131,8
水突穴,327,208,14
水道穴,276,555,14
浮白穴,383,81,13
淵腋穴,384,324,13
滑肉門穴,278,470,14
犢鼻穴,304,928,14
率谷穴,366,61,13
玉堂穴,280,299,1
玉枕穴,406,92,11
璇璣穴,306,242,1
環跳穴,371,610,13
申脈穴,347,1211,11
瘛脈穴,375,116,6
百會穴,381,17,8
目窗穴,327,29,13
眉衝穴,303,36,11
瞳子髎穴,307,91,13
石門穴,264,533,1
石關穴,266,433,12
神封穴,282,319,12
神庭穴,298,33,8
神藏穴,297,283,12
神闕穴,260,489,1
禾髎穴,286,131,7
章門穴,334,451,9
素髎穴,271,118,8
紫宮穴,286,282,1
絡卻穴,384,31,11
絲竹空穴,308,76,6
維道穴,296,565,13
缺盆穴,352,226,14
翳風穴,361,127,6
耳和髎穴,346,87,6
耳門穴,349,95,6
聽宮穴,349,106,4
聽會穴,348,114,13
肓俞穴,266,487,12
肩井穴,393,201,13
胸鄉穴,329,299,10
腦戶穴,412,93,8
腦空穴,398,92,13
腹哀穴,297,430,10
腹結穴,299,516,10
腹通谷穴,268,395,12
膝陽關穴,346,875,13
膺窗穴,304,299,14
膻中穴,271,319,1
至陰穴,260,1248,11
華蓋穴,297,263,1
衝陽穴,299,1207,14
角孫穴,367,74,6
解溪穴,323,1188,14
豐隆穴,331,1057,14
足三里穴,321,976,14
足竅陰穴,248,1247,13
足臨泣穴,305,1226,13
足通谷穴,275,1251,11
跗陽穴,368,1140,11
輒筋穴,373,328,13
迎香穴,292,120,7
通天穴,361,20,11
金門穴,334,1239,11
關元穴,266,555,1
關門穴,279,430,14
陰交穴,262,510,1
陰市穴,287,831,14
陰都穴,266,414,12
陷谷穴,275,1219,14
陽交穴,359,1072,13
陽白穴,297,60,13
陽輔穴,343,1125,13
陽陵泉穴,347,955,13
靈墟穴,291,297,12
頭竅陰穴,384,104,13
頭維穴,333,42,14
頭臨泣穴,315,38,13
頰車穴,337,147,14
頷厭穴,338,51,13
顱息穴,379,94,6
顴髎穴,308,121,4
風市穴,336,792,13
風府穴,399,127,8
風池穴,388,125,13
飛揚穴,379,1070,11
食竇穴,317,343,10
髀關穴,262,670,14
鳩尾穴,266,361,1
