symptom,organ
畏惡風寒,脾
畏惡風寒,腎
畏惡風寒,胃
惡寒發熱,肺
寒熱往來,膽
但熱不寒,肝
但熱不寒,脾
但熱不寒,肺
但熱不寒,胃
潮熱,脾
潮熱,胃
五心煩熱,肝
五心煩熱,脾
五心煩熱,肺
五心煩熱,腎
五心煩熱,膽
五心煩熱,胃
無汗,肺
戰汗,脾
戰汗,胃
自汗,肝
自汗,脾
自汗,肺
自汗,腎
自汗,胃
盜汗,脾
盜汗,肺
盜汗,腎
盜汗,胃
黃汗,脾
黃汗,胃
黃汗,膀胱
頭汗,肝
頭汗,膽
頭汗,胃
頭汗,膀胱
心胸汗出,脾
心胸汗出,腎
手足汗出,脾
手足汗出,胃
手足汗出,膀胱
腋汗,肝
腋汗,膽
身重,肝
身重,脾
身重,肺
身重,腎
身重,膀胱
身痛,肝
身振搖,肝
身振搖,脾
身振搖,腎
身振搖,膽
癱瘓,肝
癱瘓,脾
癱瘓,肺
癱瘓,腎
癱瘓,膽
癱瘓,胃
半身不遂,肝
半身不遂,脾
半身不遂,腎
半身不遂,胃
角弓反張,肝
半身麻木,肝
半身麻木,脾
半身麻木,肺
半身麻木,腎
浮腫,脾
浮腫,肺
浮腫,腎
浮腫,胃
浮腫,膀胱
肥胖,脾
肥胖,膽
肥胖,胃
消瘦,肝
消瘦,脾
消瘦,肺
消瘦,膽
消瘦,胃
疲乏,脾
疲乏,胃
白㾦,肺
紅疹,胃
發斑,脾
發斑,肺
發斑,腎
發斑,胃
發黃,肝
發黃,脾
發黃,膽
發黃,胃
發黃,膀胱
發狂,肝
發狂,腎
發狂,膽
發狂,胃
癲,脾
癲,膽
癇,肝
癇,脾
癇,腎
癇,膀胱
善驚,肝
善驚,腎
善驚,膽
善喜,肝
善喜,脾
善喜,肺
善喜,腎
善喜,膽
善喜,胃
善悲,肝
善悲,脾
善悲,肺
善恐,肝
善恐,腎
善恐,膽
善恐,胃
善怒,肝
善怒,脾
善怒,腎
善怒,膽
善怒,胃
善憂思,脾
善憂思,肺
善憂思,胃
神昏,肝
神昏,脾
神昏,肺
神昏,腎
神昏,胃
譫語,肝
譫語,脾
譫語,胃
